Date,Adj Close,Close,High,Low,Open,Volume
2024-12-09 00:00:00+00:00,16.68734169,19.60821342,19.8214283,19.34392929,19.77928543,560518000
2024-12-06 00:00:00+00:00,16.47671318,19.36071396,19.63107109,19.3214283,19.56714249,352965200
2024-12-05 00:00:00+00:00,16.0177536,18.8214283,19.23678589,18.77964211,19.17749977,594333600
2024-12-04 00:00:00+00:00,15.92353439,18.71071434,18.90357018,18.39999962,18.6428566,484156400
2024-12-03 00:00:00+00:00,15.96639442,18.76107025,18.99607086,18.6160717,18.90035629,458707200
2024-12-02 00:00:00+00:00,15.71685886,18.46785736,18.75035667,18.42821312,18.6607132,407604400
2024-11-29 00:00:00+00:00,15.91167641,18.69678688,18.88285637,18.41142845,18.87678528,601146000
2024-11-27 00:00:00+00:00,15.81411839,18.58214378,18.76142883,18.53642845,18.6071434,350506800
2024-11-26 00:00:00+00:00,15.25030422,17.9196434,18.125,17.80392838,17.95285606,734207600
2024-11-25 00:00:00+00:00,14.76915932,17.35428619,17.82107162,17.26357079,17.79642868,876772400
2024-11-22 00:00:00+00:00,15.3822155,18.07464218,18.19428635,17.5892868,17.66571426,690804800
2024-11-21 00:00:00+00:00,15.2785635,17.95285606,18.2410717,17.92964363,18.22535706,453678400
2024-11-20 00:00:00+00:00,15.19711018,17.8571434,17.93642807,17.72857094,17.80428505,472922800
2024-11-19 00:00:00+00:00,15.34209442,18.02750015,18.13857079,17.73678589,18.02000046,461546400
2024-11-18 00:00:00+00:00,15.62293434,18.35750008,18.39249992,18.02750015,18.17178535,861509600
2024-11-15 00:00:00+00:00,13.69259834,16.0892868,16.63321495,16.0803566,16.4285717,1460852400
2024-11-14 00:00:00+00:00,13.36981297,15.71000004,16.29392815,15.53571415,16.13178635,1208026400
2024-11-13 00:00:00+00:00,13.67223454,16.06535721,16.1860714,15.56642914,15.63678646,785517600
2024-11-12 00:00:00+00:00,13.92876244,16.36678505,16.43571472,16.14714241,16.375,571158000
2024-11-11 00:00:00+00:00,13.88499355,16.31535721,16.52142906,16.2321434,16.3214283,417155200
