,order_id,customer_id,delivery_to_estimated_delivery_delay,order_duration,approval_delay,delivery_accuracy,customer_city,product_id,seller_id,price,shipping_charges,product_category_name,product_weight_g,order_purchase_is_weekend,customer_order_count,product_weight_to_price,product_volume,price_to_shipping_ratio,order_status_canceled,order_status_delivered,anomaly
0,VEDSMTavbQwk,gDdkaN8b9s1g,0.8142825408722258,0.4719497716252068,-0.8023043292341367,-0.810782880461557,mogi-guacu,IUykT5z5LcPW,RKad98cTxhSb,-0.1783188088007654,-0.04858752879442315,toys,-0.8307711486034449,0,1,-0.3194030202688904,-0.34467116836259853,-0.002884931791479432,False,True,True
1,lo8oje94TYb7,eSqRKROmKF9Y,-0.5706805929925863,-0.8069750212886609,0.21973630433520522,0.6028288705286067,florianopolis,f21OMkeWX2ZC,ozjiHoSKwUks,-1.0227587249001946,-0.27620200931241534,toys,3.8545778441306116,0,2,1.4187060173183208,7.3349073633386475,-0.0028951474311670064,False,True,True
3,NnoGZNF5rNkD,YanexVtkhb2B,-0.15519165283314265,-0.5964988115034058,-0.6225174396393116,0.1513912253618681,santos,htOWZMHmysDe,9OW1ODEpHxLL,-0.9960865823815293,-0.8547284741379988,toys,1.4764679352134937,0,5,0.22703472867703467,1.8002762362949132,-0.0028915436874106517,False,True,True
8,4qLswBjaDZnT,6gl6qALuNSUL,0.7219516652812384,0.8178030692681222,0.3493132080164075,-0.7281593648838179,claudio,nS95HUh6SK36,2a07LobkzHUx,-1.011659353867302,-0.23474853821073965,bed_bath_table,-0.6181586733029079,0,1,-0.2454035429501803,-0.6382214832936196,-0.002895016895979625,False,True,True
9,Pp9bMvTIgPDs,CiOHqzRk5bbt,-0.01669533944666143,-0.11480694372785925,-0.13845973822848157,0.015247907330291403,manhuacu,hoBYqNvOyd5V,lAnSOSAjk3Uz,-0.8548408487564717,-0.10188484878229195,housewares,3.8545778441306116,0,2,0.05453328420136567,5.356665715519803,-0.0028931015137193695,False,True,True
11,cuAQQZUhTEwb,EeCs1w6JNdPU,-0.38601884181061136,-0.08405632214809573,-0.7813364162019178,0.3956847973534226,primavera do leste,bumRSmIPLuYa,kiirS0of7bJI,-0.7706585307657569,-0.3557683787529942,toys,1.3977225739910726,0,2,-0.19107209408463371,0.37772044460495724,-0.002890623567296398,False,True,True
13,h8KEpd8n4gLL,LkYwWbX35V3p,1.5529295456001257,1.3141597585336116,-0.8102688853471501,-1.5498476004803228,sao paulo,etUc3o0rjL6e,qeM9i4J3ypy2,-0.5759930851177817,1.0489424679927994,toys,-0.5205144253871057,0,1,-0.30811293758272984,-0.5113769252012652,-0.002892965980255156,False,True,True
14,YjpdVhpi6ke5,dvl5K6eo1ouv,-0.5706805929925863,-1.0731337146057347,2.1272204030749973,0.600378594681043,osasco,sZPDopwjwXU1,T5TAziawiIyq,0.5554987298218586,-0.2099979309229259,auto,-0.48429155922479195,0,21,-0.3161214824681032,-0.2446477142593985,-0.0028721403915627918,False,True,True
35,DWf9VC5hYd07,fo2DhPj0geOU,1.137440605440682,0.9410016452616402,-0.8067084423811773,-1.1358890108815043,januaria,XtWT6gLIlj7Q,2IxTbqKqgUdA,-1.043651999907746,0.443995109498016,toys,0.8150069009451564,0,2,0.8136818332752622,0.8519057085016092,-0.0028956691963512647,False,True,True
37,Weun8cqlOfrB,JG5L1Y6huM3k,-0.5706805929925863,-0.7122470543312822,1.0909070372681464,0.5680600982453495,peruibe,Fn43rroPPaVv,JZPhFrxpqDgz,-1.034014751980075,0.1554910981676724,housewares,0.696888859111525,1,15,0.44276233398728115,0.6924905500953535,-0.0028955211721475825,False,True,True
52,VBLoTukvL7qH,Df666drgmPfx,-0.2013570906286364,-1.1029243026286046,-0.8081403596609708,0.19621575852521422,paranagua,IygrTULmkPjL,3FRwW3adXzn7,0.5554987298218586,0.8702218251844758,toys,-0.8150220763589606,0,4,-0.3195774629613899,-0.940277496395787,-0.002885394411991322,False,True,True
56,HG9ftAgQxhF4,C2neZlovyKdO,-0.2936879662196239,-0.07608756011709171,-0.6815433919404197,0.28592313927709945,goiania,fF0aIgV1Szz2,cdFuckm1t0Np,-0.27109400107256426,-0.3121890886204634,toys,1.8701947413255995,0,4,-0.2618489323642189,1.7707582036173466,-0.0028826359090243963,False,True,True
