return_date,product_id,store_id,quantity
01-01-2023,250,6,1
01-01-2023,628,6,1
01-01-2023,869,6,1
01-02-2023,469,11,1
01-02-2023,532,23,2
01-02-2023,742,23,1
01-02-2023,761,11,1
01-02-2023,1396,11,1
01-03-2023,1,7,1
01-03-2023,365,7,2
01-03-2023,385,7,1
01-03-2023,671,7,1
01-03-2023,1329,23,2
01-05-2023,70,15,1
01-05-2023,461,7,1
01-05-2023,469,23,1
01-05-2023,850,7,1
01-05-2023,927,7,1
01-05-2023,961,23,1
01-05-2023,987,23,1
01-05-2023,1117,23,1
01-05-2023,1292,15,1
01-05-2023,1458,23,1
01-06-2023,23,24,1
01-06-2023,40,24,2
01-06-2023,43,6,1
01-06-2023,85,24,1
01-06-2023,193,24,1
01-06-2023,464,3,1
01-06-2023,918,3,1
01-06-2023,1104,24,2
01-06-2023,1296,3,1
01-07-2023,310,13,1
01-07-2023,418,13,1
01-07-2023,599,13,1
01-07-2023,638,13,1
01-07-2023,1078,13,1
01-07-2023,1152,13,2
01-07-2023,1257,11,1
01-09-2023,132,23,1
01-09-2023,254,3,1
01-09-2023,290,3,1
01-09-2023,568,23,1
01-09-2023,1081,3,2
01-09-2023,1164,3,1
01-09-2023,1230,3,1
01-09-2023,1371,23,1
01-10-2023,12,24,2
01-10-2023,238,24,1
01-10-2023,358,24,1
01-10-2023,964,24,1
01-11-2023,75,13,1
01-11-2023,107,13,1
01-11-2023,188,13,2
01-11-2023,189,13,1
01-11-2023,229,13,2
01-11-2023,391,13,1
01-11-2023,412,24,2
01-11-2023,475,13,1
01-11-2023,484,6,1
01-11-2023,569,13,1
01-11-2023,590,13,1
01-11-2023,594,17,2
01-11-2023,669,17,2
01-11-2023,804,13,1
01-11-2023,915,24,1
01-11-2023,950,6,1
01-11-2023,959,13,1
01-11-2023,992,13,1
01-11-2023,1046,13,1
01-11-2023,1049,13,1
01-11-2023,1063,13,1
01-11-2023,1226,13,1
01-11-2023,1319,13,1
01-11-2023,1327,24,1
01-11-2023,1393,13,1
01-11-2023,1404,13,1
01-11-2023,1445,13,1
01-12-2023,361,7,1
01-12-2023,726,7,1
01-13-2023,466,17,1
01-13-2023,551,17,1
01-13-2023,592,17,1
01-13-2023,895,17,1
01-13-2023,982,17,1
01-13-2023,1107,15,2
01-13-2023,1291,3,1
01-13-2023,1523,15,2
01-13-2023,1531,17,1
01-14-2023,439,6,1
01-14-2023,1098,6,2
01-15-2023,366,24,1
01-15-2023,603,24,1
01-15-2023,879,24,1
01-15-2023,1162,24,1
01-15-2023,1179,24,1
01-16-2023,391,17,1
01-16-2023,551,17,2
01-16-2023,760,17,2
01-16-2023,1043,17,1
01-16-2023,1398,17,1
01-16-2023,1439,17,1
01-17-2023,17,6,1
01-17-2023,176,11,1
01-17-2023,194,6,2
01-17-2023,320,24,1
01-17-2023,598,24,2
01-17-2023,865,24,1
01-17-2023,952,11,2
01-17-2023,954,24,2
01-17-2023,1004,11,1
01-17-2023,1271,24,1
01-18-2023,13,15,1
01-18-2023,139,15,1
01-18-2023,360,15,1
01-18-2023,537,15,1
01-19-2023,167,7,1
01-19-2023,434,16,1
01-19-2023,455,7,1
01-19-2023,497,7,1
01-19-2023,1051,16,1
01-19-2023,1337,7,1
01-19-2023,1463,7,1
01-19-2023,1496,16,2
01-19-2023,1542,7,1
01-20-2023,93,11,1
01-20-2023,100,13,1
01-20-2023,197,16,1
01-20-2023,271,13,1
01-20-2023,443,7,1
01-20-2023,563,16,1
01-20-2023,683,11,1
01-20-2023,784,13,1
01-20-2023,860,11,1
01-20-2023,894,7,1
01-20-2023,1038,11,1
01-20-2023,1045,16,2
01-20-2023,1053,16,1
01-20-2023,1212,11,1
01-20-2023,1218,13,1
01-20-2023,1220,13,1
01-20-2023,1355,16,1
01-20-2023,1357,13,2
01-20-2023,1402,13,1
01-20-2023,1556,16,1
01-21-2023,259,3,1
01-21-2023,360,16,1
01-21-2023,486,16,1
01-21-2023,520,3,2
01-21-2023,651,13,1
01-21-2023,851,13,1
01-21-2023,921,13,1
01-21-2023,952,13,1
01-21-2023,1169,3,1
01-21-2023,1452,16,1
01-21-2023,1481,3,2
01-23-2023,179,13,1
01-23-2023,328,13,1
01-23-2023,688,13,1
01-23-2023,1432,13,2
01-23-2023,1549,13,1
01-25-2023,222,15,1
01-25-2023,324,16,1
01-25-2023,358,23,1
01-25-2023,375,16,1
01-25-2023,810,15,1
01-25-2023,814,15,2
01-25-2023,990,23,1
01-25-2023,1147,3,2
01-25-2023,1295,15,2
01-26-2023,43,17,1
01-26-2023,603,17,1
01-26-2023,1013,17,1
01-26-2023,1185,17,1
01-26-2023,1273,17,2
01-26-2023,1397,17,1
01-26-2023,1428,17,1
01-27-2023,393,15,1
01-27-2023,530,15,1
01-27-2023,623,15,2
01-28-2023,231,11,1
01-29-2023,501,17,1
01-29-2023,755,17,1
01-29-2023,936,17,1
01-29-2023,1161,17,1
01-29-2023,1293,17,2
01-29-2023,1526,17,1
02-01-2023,302,3,1
02-01-2023,663,3,1
02-01-2023,882,3,2
02-01-2023,1440,3,1
02-02-2023,637,15,1
02-02-2023,921,16,1
02-02-2023,1054,15,1
02-02-2023,1442,15,2
02-02-2023,1473,15,1
02-03-2023,97,24,2
02-03-2023,196,13,1
02-03-2023,247,15,1
02-03-2023,292,24,1
02-03-2023,466,16,1
02-03-2023,539,24,1
02-03-2023,684,15,1
02-03-2023,900,13,1
02-03-2023,928,15,1
02-03-2023,1067,13,1
02-03-2023,1140,15,1
02-03-2023,1190,24,1
02-03-2023,1201,16,2
02-03-2023,1351,13,1
02-03-2023,1464,15,1
02-04-2023,653,15,1
02-04-2023,687,15,1
02-04-2023,1244,15,1
02-04-2023,1246,15,1
02-04-2023,1275,15,2
02-05-2023,210,11,2
02-05-2023,283,11,1
02-05-2023,389,11,1
02-05-2023,642,11,1
02-05-2023,789,11,1
02-05-2023,907,24,1
02-05-2023,1076,11,2
02-05-2023,1168,6,1
02-07-2023,71,23,1
02-07-2023,260,24,1
02-07-2023,408,24,1
02-07-2023,528,6,1
02-07-2023,709,24,1
02-07-2023,1080,6,1
02-07-2023,1447,6,1
02-08-2023,175,13,1
02-08-2023,479,13,1
02-10-2023,249,17,1
02-10-2023,972,17,1
02-10-2023,1090,17,1
02-10-2023,1502,17,1
02-11-2023,28,23,1
02-11-2023,91,11,2
02-11-2023,555,23,1
02-11-2023,625,11,1
02-11-2023,668,11,1
02-11-2023,1528,23,1
02-12-2023,11,6,1
02-12-2023,231,17,2
02-12-2023,269,6,1
02-12-2023,499,7,1
02-12-2023,548,6,1
02-12-2023,551,6,1
02-12-2023,575,11,1
02-12-2023,661,7,2
02-12-2023,913,17,2
02-12-2023,978,7,1
02-12-2023,983,7,1
02-12-2023,1430,11,1
02-12-2023,1475,11,1
02-12-2023,1549,6,1
02-13-2023,105,7,1
02-13-2023,327,7,2
02-13-2023,493,7,1
02-13-2023,881,7,1
02-13-2023,951,7,1
02-13-2023,1472,7,1
02-14-2023,53,3,2
02-14-2023,362,23,1
02-14-2023,526,6,1
02-14-2023,564,23,1
02-14-2023,648,6,1
02-14-2023,914,6,1
02-14-2023,964,3,1
02-14-2023,995,23,2
02-14-2023,1169,3,2
02-15-2023,370,15,2
02-15-2023,376,7,1
02-15-2023,386,3,1
02-15-2023,467,15,1
02-15-2023,482,3,1
02-15-2023,734,15,1
02-15-2023,799,3,2
02-15-2023,914,7,1
02-15-2023,927,7,1
02-15-2023,935,3,1
02-15-2023,1260,15,1
02-16-2023,815,24,1
02-16-2023,1142,24,1
02-16-2023,1405,24,1
02-16-2023,1414,24,1
02-17-2023,10,17,1
02-17-2023,174,17,2
02-17-2023,217,17,1
02-17-2023,417,17,1
02-17-2023,434,6,1
02-17-2023,507,17,1
02-17-2023,681,17,1
02-17-2023,712,3,1
